Team,W,L,T,AverageYards,CompletionRate,Location,Location.1,State,long,lat,group,order,subregion
LA,13,3,0,8.13,63.48,California,California,california,-119.2267837524414,34.26860427856445,4,821,NA
LA,13,3,0,8.13,63.48,California,California,california,-119.23824310302734,34.29152297973633,4,822,NA
LA,13,3,0,8.13,63.48,California,California,california,-119.32991790771484,34.32017135620117,4,823,NA
LA,13,3,0,8.13,63.48,California,California,california,-119.39295196533203,34.36600875854492,4,824,NA
LA,13,3,0,8.13,63.48,California,California,california,-119.43878173828125,34.4061164855957,4,825,NA
LA,13,3,0,8.13,63.48,California,California,california,-119.49034881591797,34.41757583618164,4,826,NA
LA,13,3,0,8.13,63.48,California,California,california,-119.53617858886719,34.43476486206055,4,827,NA
LA,13,3,0,8.13,63.48,California,California,california,-119.58202362060547,34.440494537353516,4,828,NA
LA,13,3,0,8.13,63.48,California,California,california,-119.66796112060547,34.41757583618164,4,829,NA
LA,13,3,0,8.13,63.48,California,California,california,-119.72526550292969,34.42903518676758,4,830,NA
LA,13,3,0,8.13,63.48,California,California,california,-119.7768325805664,34.43476486206055,4,831,NA
LA,13,3,0,8.13,63.48,California,California,california,-119.83985137939453,34.42903518676758,4,832,NA
LA,13,3,0,8.13,63.48,California,California,california,-119.88569641113281,34.440494537353516,4,833,NA
LA,13,3,0,8.13,63.48,California,California,california,-119.9487075805664,34.463409423828125,4,834,NA
LA,13,3,0,8.13,63.48,California,California,california,-119.99455261230469,34.469139099121094,4,835,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.06330871582031,34.469139099121094,4,836,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.12633514404297,34.47487258911133,4,837,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.27529907226562,34.469139099121094,4,838,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.4013442993164,34.463409423828125,4,839,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.43000793457031,34.47487258911133,4,840,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.46437072753906,34.514976501464844,4,841,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.4987564086914,34.555084228515625,4,842,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.56751251220703,34.57227325439453,4,843,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.60762023925781,34.58373260498047,4,844,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.61907958984375,34.62956619262695,4,845,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.5846939086914,34.686866760253906,4,846,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.5846939086914,34.74415969848633,4,847,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.61334228515625,34.78426742553711,4,848,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.60762023925781,34.82437515258789,4,849,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.57323455810547,34.86448287963867,4,850,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.60188293457031,34.89885711669922,4,851,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.61334228515625,34.916046142578125,4,852,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.63053894042969,34.93896484375,4,853,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.61907958984375,34.961883544921875,4,854,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.61907958984375,35.013450622558594,4,855,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.60188293457031,35.053558349609375,4,856,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.59615325927734,35.1280403137207,4,857,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.61907958984375,35.168148040771484,4,858,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.65345001220703,35.18533706665039,4,859,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.68782806396484,35.19106674194336,4,860,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.69355773925781,35.17387771606445,4,861,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.71647644042969,35.17387771606445,4,862,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.76232147216797,35.208255767822266,4,863,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.81387329101562,35.23117446899414,4,864,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.8539810180664,35.28274154663086,4,865,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.8539810180664,35.3113899230957,4,866,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.82533264160156,35.345767974853516,4,867,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.81387329101562,35.345767974853516,4,868,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.79669189453125,35.33430862426758,4,869,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.78523254394531,35.34003829956055,4,870,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.81387329101562,35.4030647277832,4,871,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.84253692626953,35.44316864013672,4,872,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.84825897216797,35.466087341308594,4,873,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.88836669921875,35.466087341308594,4,874,NA
LA,13,3,0,8.13,63.48,California,California,california,-120.96858215332031,35.47181701660156,4,875,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.00296020507812,35.506195068359375,4,876,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.07171630859375,35.574947357177734,4,877,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.12328338623047,35.63224792480469,4,878,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.16339111328125,35.64943313598633,4,879,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.21495819091797,35.68381118774414,4,880,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.24932861328125,35.706729888916016,4,881,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.27224731445312,35.7468376159668,4,882,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.27224731445312,35.78694534301758,4,883,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.3066177368164,35.798404693603516,4,884,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.33528137207031,35.83278274536133,4,885,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.37538146972656,35.861427307128906,4,886,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.40975189208984,35.88434600830078,4,887,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.44413757324219,35.918724060058594,4,888,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.46704864501953,35.98175048828125,4,889,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.4957046508789,36.02185821533203,4,890,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.53581237792969,36.044776916503906,4,891,NA
LA,13,3,0,8.13,63.48,California,California,california,-121.57018280029297,36.09634017944336,4,892,NA
